"","X","SpawnBio_om","Recruit_0_om","F_om","SPRratio_om","SpawnBio_em","Recruit_0_em","F_em","SPRratio_em","scenario","replicate","D","F","species","year","ID","F_re","Recruit_0_re","SpawnBio_re","SPRratio_re"
"90",90,1100220000,164192000,0.101467,0.525928,1084650000,149105000,0.102818,0.531574,"D0-F1-cod",1,"D0","F1","cod",90,"D0-F1-cod-1",0.0133146737362887,-0.0918863282011304,-0.0141517151115232,0.0107353097762432
"91",91,1089650000,87209000,0.0986667,0.517554,1.076e+09,80428300,0.0997473,0.522475,"D0-F1-cod",1,"D0","F1","cod",91,"D0-F1-cod-1",0.0109520233270192,-0.0777522962079602,-0.0125269581975864,0.00950818658536127
"92",92,1123310000,69286200,0.0958667,0.508962,1108230000,73029200,0.0973932,0.515325,"D0-F1-cod",1,"D0","F1","cod",92,"D0-F1-cod-1",0.0159231516261642,0.0540223016993283,-0.0134246111937043,0.0125019156636448
"93",93,1195910000,87489200,0.0930667,0.500145,1172560000,87133600,0.0951872,0.508482,"D0-F1-cod",1,"D0","F1","cod",93,"D0-F1-cod-1",0.0227847339596225,-0.00406450167563539,-0.0195248806348304,0.0166691659418769
"94",94,1254700000,55448800,0.0902667,0.491094,1224420000,53674500,0.0925202,0.50002,"D0-F1-cod",1,"D0","F1","cod",94,"D0-F1-cod-1",0.0249649095402844,-0.0319988890652277,-0.0241332589463617,0.018175746394784
"95",95,1296320000,91004000,0.0874667,0.481802,1264140000,88268300,0.0896215,0.490579,"D0-F1-cod",1,"D0","F1","cod",95,"D0-F1-cod-1",0.024635661343117,-0.0300613159861105,-0.0248241175018514,0.0182170269114698
"96",96,1319800000,91895100,0.0846667,0.47226,1288160000,94336400,0.0866716,0.480702,"D0-F1-cod",1,"D0","F1","cod",96,"D0-F1-cod-1",0.0236799119370426,0.0265661607637404,-0.023973329292317,0.0178757464108754
"97",97,1325630000,101544000,0.0818667,0.46246,1295090000,90048600,0.0837071,0.470493,"D0-F1-cod",1,"D0","F1","cod",97,"D0-F1-cod-1",0.0224804468727823,-0.113206097849208,-0.023038102637991,0.0173701509319725
"98",98,1336790000,111738000,0.0790667,0.452391,1308810000,101327000,0.0805715,0.459374,"D0-F1-cod",1,"D0","F1","cod",98,"D0-F1-cod-1",0.0190320324485529,-0.0931733161502801,-0.0209307370641612,0.0154357624267503
"99",99,1357660000,184910000,0.0762667,0.442044,1331600000,159964000,0.0778057,0.449281,"D0-F1-cod",1,"D0","F1","cod",99,"D0-F1-cod-1",0.0201791869846211,-0.134908874587637,-0.0191947910375204,0.016371673408077
"100",100,1395350000,120105000,0.0734667,0.43141,1364020000,94740800,0.075352,0.440096,"D0-F1-cod",1,"D0","F1","cod",100,"D0-F1-cod-1",0.0256619665780552,-0.21118354772907,-0.02245314795571,0.0201339792772536
"101",101,4084180000,179006000,0,0,4184070000,134678000,0,0,"D0-F1-cod",2,"D0","F1","cod",1,"D0-F1-cod-2",NA,-0.247634157514273,0.0244577858958224,NA
"102",102,4084210000,108012000,0,0,4184070000,134284000,0,0,"D0-F1-cod",2,"D0","F1","cod",2,"D0-F1-cod-2",NA,0.243232233455542,0.0244502608827656,NA
"103",103,4098380000,326591000,0,0,4184150000,133891000,0,0,"D0-F1-cod",2,"D0","F1","cod",3,"D0-F1-cod-2",NA,-0.590034630470527,0.0209277812208726,NA
